name,purpose,alpha_acid_avg,beta_acid_avg,alpha_beta_ratio,hsi,cohumulone_%_of_alpha,total_oils_avg,myrcene,humulene,caryophyllene,farnesene,tags,beer_styles
,,,,,,,,,,,,[],[]
Astra,Dual,8.5,5.0,1.5,,27% avg,2.0,,7.0,2.5,,"['tropical_fruit', 'sweet', 'peach', 'white_wine', 'melon', 'grassy', 'grapefruit', 'honey']","['Ale', 'Pale Ale', 'IPA', 'Lager', 'Saison']"
Eclipse,Dual,17.4,7.5,1.5,,35% avg,2.3,42.0,1.0,9.0,0.5,"['citrus', 'pine', 'mandarin']","['IPA', 'Pale Ale', 'NEIPA', 'Lager', 'Wheat Ale']"
Ella,Dual,16.3,5.9,2.0,,36.5% avg,2.9,42.0,18.5,11.5,13.0,"['floral', 'spicy', 'grapefruit', 'tropical_fruit', 'noble', 'anise']","['Pale Ale', 'Stout', 'Lager', 'Pilsner']"
Enigma,Aroma,16.5,5.8,2.0,0.295,40% avg,2.4,26.5,15.5,7.0,10.5,"['tropical_fruit', 'berry', 'stone_fruit', 'raspberry', 'redcurrant', 'white_wine']","['IPA', 'Pale Ale']"
Feux-Coeur Francais,Bittering,14.0,4.6,2.5,,,,,,,,[],[]
Galaxy,Dual,13.5,7.0,1.5,,37% avg,3.4,51.0,1.5,10.0,4.0,"['passion_fruit', 'citrus', 'peach', 'pineapple', 'tropical_fruit', 'cannabis', 'dank']","['Pale Ale', 'IPA', 'Barley Wine', 'Fruit Beers', 'Saison', 'Wheat Beer', 'Wild Ale']"
Helga,Aroma,6.4,6.0,1.0,,21.5% avg,0.8,7.0,45.0,27.5,0.5,['noble'],"['Ale', 'Lager']"
HPA-016,Aroma,17.2,7.5,1.5,,35% avg,1.8,42.0,1.0,9.0,0.5,"['mandarin', 'citrus', 'pine', 'fruity']","['IPA', 'NEIPA']"
Melba,Aroma,8.5,3.8,2.0,,30% avg,3.0,,,,,"['passion_fruit', 'grapefruit', 'citrus', 'spicy']",[]
